　　	Rarikkusu
オフトンスキー	Ohutonsky
おぼろ	oBoRo
おもしれぇおんなX	Omoshire Onna X
オラオラも粉々	Oraora mo Konagona
オルカン	Orkan
オルトリウス	Alteriuth
オレオ	OLEO
オレガイツカ	Orega Itsuka
お味噌汁	Omisoshiru
かーたれっと 	Carteret
カービィすきだよ	Kirby Sukidayo
カーブきたむら	Curve Kitamura
カー坊	Kabo
カカブル	Kakablue
ガキ	Gacky
カゲツ	Kagetu
かずえる	KAZelu
かずんぼ	Kazunnbo
がちゃ	Gatha
カッキー	Kakkey
かってぃー	Katty
かっぱまき	KaPMk
カナダ人のアダム	Canadian Adam (Canada Hito no Adam)
かなへびまん	Kanahebimann
カニピラフ	Kani Pilaf
かぬいち	Kanuiti
カフェオレ	Cafeore
かぼちゃ	Kabotya
ガム	Gam
カム子の生足美脚ドリル	Kamuko no Namaashi Bikyaku Doriru
かめでございます	Kamede Gozaimasu
かめらて	Kamelatte
ガラナ	Guarana
がらな	Guarana
かりこむ	Karlycom
かりんとう	Karintou
かりんとうまんじゅー	Karintou Manju
かるぅと	Karuut
カルマポリス	Karma Police
カルメろ	Carmelo
カヲル	Kaworu
かんさいのひと	Kansai no Hito
がんめん	Ganmen
きーかぎ	key_kg
きせのんゼルダ	Xelda (Xenon Zelda)
きたのうす	Kitanorth
きなこもち	Kinako Moti
キノピー	Kinopy
きゃみ	Cami
きゃらめる	Caramel
きょう	Kyou
きょっきょー	Kyokkyou
きろせあ	Kirocea
きん	Kinn
きんてろ	Quintero
ぎんなる	Ginnar
ぐーり	Gu-ri
グーレン	Gullen
くあんた	Qanta
クウヤ	KuYa
クッパFucker	BowserFucker
くつべら	Kutubera
グミカケ	Gumicake
くらうん	Crown
グラディウス	Gradius
クラム	Curamu
クラムボン2世	Kuramubon II
グリンカッツ	Grenkuts
くるみす	Kurumis
くるみちょこ	Kurumichoco
クレータ	Crete
グレイ	Gray
ぐれぇぷ	Grape
くろー	CLAW
クローソン	Clauson
くろーと	Kurouto
くろいち	Kuroiti
くろうさ	Kurousa
くろうと	Kurouto
くろすけ	Croske
くろタマゴ	Kuro Tamago
ぐろぴ	Gurop
くろま	Chroma
くろわっさん	Crescent
ぐんぐにる	Gungnir
ぐんそう	Gunsou
げーげんぷれす	Gegen Press
けいてぃ	Keity
けいにん	Kei Nin
ケイン小杉	Kein Kosugi
けえぬ	K.A.N
ケチャップ	Ketchup
ケト	Ket
けにー	Kenny
ケンチー	Kency
けんぴ	KeNPi
けんぴん	Kengping
けん玉	Kentama
こあ	Core
こう	Kou
ごうち	Gouch
こげたごはん	Kogeta Gohan
ココア	Cocoa
ここみる	Kokomill
こじかよしお	Kojika Yoshio
こすと	KoST
ゴブとだ	GobuToda
こめにくしお	Kome Niku Sio
コランダム	Corundum
ゴリラー	Gorilla
コリンク1219	KORINKU1219
コリンク911	KORINKU911
サークル	Circle
サーロイン	Sirloin
さあもん	Salmon
サイKoD	PsyKoD
さいじゃくおばさん	Saijaku Obasan
さいん	Sign
さうんど	Sound
サエル	saL
サカマキ	SakaMaki
サクラカイロウ	Sakura Kairou
サザンバニラotan	Sazanvanillaotan
さてら	Satella
さと氏	Satoshi
さまーづ	Samars
サモエド仮面	Samoyed Kamen
さらだばー	Saladbar
さらだばーp(oAo	Saladbar
サロメイト	Salomate
サンコッツ	San Kottu
さんち	Centi
サンリー	Sunry
しー	Sy
しーた	ShiTa
しいな	Shina
シイナ	Shina
じぇーむす	James
しぇふ	Chef
ジェラード	Gerrard
しおこんぶ	Shiokonbu
しおまさ	Siomasa
シガナ	Sigana
しざ	Siza
ししだい	Sisidai
しずくもち	Sizukumochi
しせい	Shise
しただけ	Sitadake
シダレザクラ	Sidarezakura
しっぷ	Sippu
ジブにゃ	Jibnya
しみゅ	Simyu
ジャイロでいきます	Gyro de Ikimasu
シャイン	Syainn
しゃきしゃき	Syakisyaki
じゃぐち	Jaguti
しゃける	Syakeru
シャチクカムイ	Shachiku Kamui
ジャック	Jack
しゃど	Shadow
シャドウ	syadou
しゃろ	Syaro
シャロペトラ	Syaropetora
ジャンクロン	Junkron
ジャンヌ	Jeanne
シューマイ	Syumy
シュウ	Shu
しゅう	Syuu
しゅうまい	syumai
しゅら	Syura
しゅんおつ	Shunotu
しゅんおつ	Shunotu
じょーじ	George
しょーとく	Syoutoku
しょーゆ	Syoyu
ショーリミ	Sho Limit
ショウ	Sho
しょうちゃんまる	Syochanmaru
しょうちゃんまる	Syochanmaru
じょうと	JouTo
ショコボ	Shocobo
しょこらJP	ChocolatJP
しょぼん	syobbon
シリコン	Silicon
しりょうと	Siryouto
しろ	Siro
シロぬこ	Sironuk0
しろぶどう	Shirobudou
しん	Sin
じんクローン	jinclone
シンジオリジン	Shinji Origin
しんすけ	Sinsuke
じんぜん好きだよ	Zinzen Sukidayo
しんだ らいおん	Shinda Lion
しんとう	Shintou
スー	Suu
ずー	zoo
スーモごえいたい	Suumo Goeitai
スガなんです	Suga Nandesu
すき焼き	Sukiyaki
すこんぎりゃ~隊士	Sukongiryaa~Taishi
ズズバ	Zuzunba
スノー	Snow
すぺーす	space
すみおーーー	Sumio---
すみくす	SMIX
スモーク	Smoke
ズヤ	zuya
スラリンキング	Surarin King
せーら	Seira
セファルス	Sefalth
ゼロール	zeroll
せんのりQ	Sen no RiQ
ぞーん	ZONe
ぞーん@グウェンドリン	ZONe@Gwendolyn
そうかる	Soukaru
そうき	Souki
そうたん	Soutan
そめ	Somé
ダークサムス様	Dark Samus-sama
たいがー	Tiger
だいこんおろし	Daikon Oroshi
たいしょー	Taishow
たいしょう	Taishou
タイソンJr	TysonJr
ダイナ	Dyna
ダイナマイツジョージ	Dynamite George
たいほう	Taihou
タイミングはかせ	Timinghakase
ダイヤぁ	Daiya
ダイヤル	DiAL
たかちゃ	Takatya
たかてゃ	Takatha
タカにぃ	Takanii
タカ氏	Takashi
タケNOCO	TAKENOCO
タケシ	TKC
たけちい	Takechy
たけとんぼ	Taketonbo
たけのいろ	Takenoiro
たこちょこ	Takochoco
タジャニティ	Tajanity
たす	Tas
たっきー	Takky
だっきゅうゴリラ	Dakkyu Gorilla
たてつ	Tattsu
ダマグモキャノン	Man-at-Legs (Dama Gumo Cannon)
たまごかけごはん	Tamago Kake Gohan
たまどらむ	Tamadrum
たみふる	Tamiflu
ちぇしゃ	Cheshire
ちぇるの	Cherno
ちちぶトラベル	Chichibu Travel
ちむ	Timu
チャートやつ	Chart-Yatsu
ちゃこけけ	Chacokeke
チャック	Tyakku
ちゃんをつ	Chanwotsu
ちょこ	Choco
ちょっぱー	Choppar
ちよなる	Chonal
ちんすこう	Tinsuko
ちんたこ	Thintako
ツギお	Tugio
ツッカー	Tukka
つっしー	Tsushi
つなっつ	Tunattu
ツナマヨ	Tunamayo
つばすわ	Tubasuwa
つも	Tumo
でい	Day
てぃーけ	TK
てぃな	Thina
てぃゆ	Thiyu
てぃんくる	Twinkle
でぇきち	Deekiti
テオナ	Theona
テシィ	Teshi
テト	Tet.
てなー	Tener
テビッグ	HandBig (TeBig)
デュオン	Duon
てらtr	
デラルド	Derald
てるテル	Teltel
てろり	Teroli
てゐくん	Taken
てんぐどの	Tengdono
でんこた	denKOTA
テンペスト	Tempest
てんむす	Tenmusu
どーしぃ	Dorsey
どーどりお	Dodrio
とあっち	Toatti
どぅーか	Dooka
とうふさん	Tofu-san
ときわんぶる	Tokiwanburu
としみー	Tosimii
トッサーシャミ	Tosashami
ドッシー	Dossey
とど	To do~
とにぃ	Tonny
とまり(はすいろ)	Tomari (hasuiro)
トム	Tom
トムヤム	Tom Yum
とめいと	Tomato
ドラマチックパスタ	Dramatic Pasta
ドラ右	Doramigi
トリガー	TRIGGER
とるこ	Tolco
どるふぃん	Dolphin
とろぐ	Torog
どんこ	Donco
どんぶり	Donburi
ナイスごんちゃ	Nice Gonture
ないとうまちこ	Naito Machiko
なえっくす	Naex
なかソトース	Naka Sotosu
なさ	NASA
なんチャーン	Nantyan
なんべい	Nanbay
ニックネーム	Nickname
ニノンドロフ	Ninondorf
ニャツ/レールガン	Nyatu/Railgun
にゃほえ	Niyahoe
にんじんざむらい	Ninzin Zamurai
にんじんせろり	Ninjin Celery
ニンダイぜんらたいき	NinDi Zenra Taiki
にんば	Nimba
ぬーぶごりら	Noobgorilla
ネイビー	Navy
ねぎとまと	Negi Tomato
ネクト	Nekto
ネルク	Nelk
のーと	Note
ノーブル	Noble
ノイフォック	Noiphock
のかみすぶーた	Nokami Suputa
のき	NoKi
のすたる	Nostal
のり	Nyori
のわーる	Noir
ハードウェア	Hardware
ばーびょん	Barbyon
ハーブ	Herb
パール	Pearl
ハイウェイ	Highway
はいよう	Haiyou
はがたむさし	Hagata Musashi
はくも/とくれい	H4qmo/Tokurei
ばけっち	Bucketti
はしも	HASHIMO
ばしょう	Basyou
バズーカ	Bazooka
はすいろ	hasuiro
はすきー	Husky
ぱすてる	Pastel
バソ	Vasso
バター醤油	Bata Syoyu
バタ子	Batako
ハチノス	Hachinos
はっきんテーブル	Hakkin Table
はっさー	Hasa
バッサー	Basser
はっすあん	Hasuan
バッファロー	Buffalo
はつみ	Hatumi
ばにら	Vanilla
バニラ	Vanilla
バブー	Baboo
ばぷお	bapuo
はまちい	Hamachi
はやっしー	hayassy
ぱる	paru
はるきーじお	Harchisio
はるたん	Halutan
はるっち	Harutti
パルディ	Paldy
ハルネス	Harnes
パルメ	Parme
はるん	Haruuun
ぱれっと	Palette
ばろうず	Barose
ぱをん	Pawon
ばんぶー	Banbuu
ばんぶぅ	Bamboo
ビーバー太郎	Beaver Taro
ひーろー	HERO
ぴいや	Piya
ぴいや	P YA
ぴおにー	Peony
びすこーど	Biscord
ぴそら	Pisola
ひだかドラピオン	Hidaka Drapion
ピッキー	Piki
ビッグパルメちゃん	Big Parme-chan
ビッグロバ	Big Loba
ひなカス	hinaks
ひふめてね	Hihumetene
ヒョウセキ	Hyoseki
ひらがなのほうのるみ	Hiragana no Hou no Rumi
ビリー	Billy
ひろ	hiro
ふぁーむ	Farm
ふぁーむ爻	Farm
ふぁいやー	F1re
ファスター	Faster
ふぁるむ	Falm
ぶい	V
フィー桜	Phisakura
フィリップ	FILIP
ふぃる	Phil
フェレくま	Ferretkuma
フェンリス	Fenris
フォーサイド	Fourside
ふぉーす	force
ふぉーれん	Fallen
ふぉるて	Forte
フギンムニン	Fuginmnin
ふせき	Huseki
ふたりのきわみアー!	Futari no Kiwami Ah~!
ふたりのきわみアー！	Futari no Kiwami Ah~!
ぷっちょ	Puccho
ブドー酒	Budoshu
ふは	Huha
ぷふれ	Pfle
ふぶ余	Fubuyo
ふみおー	Fumi_Oh
ふゅーりー	Fury
ふゆすぅ	Fuyusuu
フラウト	Flauto
ぷらスこ!	Plusko!
ぶらっっく	Black
ふららら麺	Furararamen
プリスキー	Purisky
プリンでいきます	Purin de Ikimasu
プリンとF	Print F
ぶるーえむ	BlueM
ふるあ	Hurua
ぶるぅ	Blue
ぷるえいと	Purueight
フルパワー田中	Fullpower Tanaka
プレーヤー 4	player 4
ぶれいぶ	Brave
フレッシュ	Fresh
ブロコリー	Burokorii
フンバルビィ	Funbaruby
ぺいぺい	Paypay
べじたむ	Vegetamu
ぺしゅー	Pesyu
ペップス	Papps
ぺぺろんちーのぉ	Peperon Chino
ベリ	Beli
べるくん	Bell-kun
ベルセポネ	Bellsepone
へるつ	Health
ぺるんな	pelnna
ペンギス	Pengis
ペンギス	Penguins
ペンペン中将 ぺんちゅー	Penpen Chujo / Penchu
ポーシャ	Portia
ぽーだす	Pohdas
ボードン	Boarden
ボール#OKPG	Ball#OKPG
ボール#おにぎりゃー	Ball#Onigiryaa
ぽこぱんつ	Pokopants
ボスゴリラ	Bossgorilla
ポッチャマ	Pochama
ホパチャイ	Hopachay
ぽぴー	POPPY
ポピー	Poppy
ぼぶ	Bobb
ポポス	Popos
ボマー	Bomer
ほみっちゅんだー	HomiTunder
ポムポム	POMUPOMU
ボルテッカー	Volteccer
ぽんたる	Ponntaru
まーる	Marl
マイミー	Maimie
マイルズ	Miles
まきしぃ	Maxi
まきの定食	Makinoteishoku
マクラウド	McCloud
マサロトム	MasaRotom
まじかるさいばし	Magical Saibashi
まじっく	Magic
まぞく3号	Mazoku 3
まちゃまっちゃ	Matyamattya
マツカ	Matuka
まっきー	Macky
まつたく	Matutaku
まっち	Match
まっつん	Matsun
マトモ	Matom0
マネーライト	Moneyright
マラチオザウルス	Marachiosaurus
まるく	Malk
マルフォイ	Malfoy
まるまて	marumate
まろやかヘラジカ	Maroyaka Herajika
マントランジット馬場	Man Transit Baba
まんよう	Manyoo
ミーゼス	Mises
ミコスリハン	Mikosuri Han
みずかめこめこ	Mizukame Komeko
みすと	Mist
みそすーぷ	Miso Soup
みつ	Mitu
みつきー	mitsuky
みつひこ(ほんもの)	Mituhiko (real)
みなみつ	Minamitu
ミナル	Minal
みぬう	Minuu
ミュート	mute
ミリン	Marine
ミルちゃん	KiruChan
ムー	mone
むーあ	Muua
ムース	Muusu
むぎちら	Mujitira
めーりす	meiris
メーリン	Maylin
メアリー	Mary
メイプル	Maple
メタビィー	Metaby
メビウスお嬢	Mevius Ojo
メルセンヌ素数	Mersenne Primes (Mersenne Sosu)
メルトア	MERUTOA
メロンおじさん	Meron Ojisan
メンダー	Mender
めんぼぉ	MenBow
もーりー	Morley
モーリス	Morlis
もかちゃん	Mochachan
もしもし	Mosimosi
もちい	Moti
もちたま	Motitama
もちもちもっちっちー	Motimotimottitti
もっつぁん	Mottsuan
もとむらです	Motomura desu
モナコインオタク	Monacoin Otaku
もふもふ首輪	Mofumofu Kubiwa
モミアゲイツ	momiageitsu
もやしの底力	Moyashi no Sokojikara
モリミツてる	Morimitsu Teru
モルさん	Molsan
もるぴす	Molpiss
モンガチ	Mongati
もんぶらん	Montblanc
やおーのきわみアー	Yao no Kiwami Ah~
やけくそブッパマン	Yakekuso Buppaman
やさお	Yasaoh
やしふう	Yasifuu
ヤッツ46さい	Yutzu46Sai
やっほーん	Yahhonn
やまないと	Yamanight
ヤマナクション	Yamanaction
やみねこパンチ	Yaminekopunch
ヤムチャ	Yamcha
ヤンセン	Jansen
やんゆし	Yan uC
ユーゲンジ	Yuugenji
ユーノ	U-NO
ゆーふぉ	Eupho
ユーホー	Yuuho
ユウ(ゲ)キ	Yuu(ge)ki
ゆうかす	Yuukazu
ゆう〆シャチ	Yuu〆Shati
ゆうぼん	Yuubon
ゆきっぷ	Yukip
ゆず	yuzu
ゆすきー	Yusuky
ゆづ	Yuz
ゆっくりの人	Yukkuri no Hito
ゆどうふ	Yudouhu
ゆのみ	Unomi
ゆます	YuMas
ゆらりず	Yuralyz
よーくん	Yookun
よーよー	Youyou
よいしょ	Yoisyo
ヨガンチュ	Yogannchu
よこしゃーぷ	yoko#
よしのかみー	Yoshinokamy
ヨセフ	Yosef
ヨッシー	Yoshi
よっちー	Yocchi
よっちゃん/よしあき	Yocchan/Yoshiaki
よっぴー	Yoppy
よっぴーです	Yoppy desu
よにし	Yonisi
よ儀	Yogi
ラーテル	Lartel
ラー油	Raaaayu
らあめん	Ramen
らいあん将軍	Ryan Shogun
らいじんぐ	Rising
ライスヘッド	Ricehead
ライダ	Ryda
ライトニングいがらし	LightningIgarashi
ライム	Lime
ラギエム	R4G1M
ラキラキ	LuckyLucky
ラクス	Lux
らくちんし	Rakutinshi
ラグネン	Ragnen
らすべがす	Las Vegas
ラックス	Lax
らてぇ	Latte
ラピ	Lapi
ラピシオン	Lapixion
らびる	Ravill
ラブゴリラ	Lovegorilla
らま	Lama
らららし	Lararashi
らりほんkids	Rarihonnkids
らんたん	Lantern
ランドぼくめつたい	Lando Bokumetsutai
リーフ	Leaf
りーま	Leema
りーマック	LiiMac
リーロン	Lulang
りありー	Lially
りえっと	Riet
リオン	RioN
りきゅーーん	Rikyuuuun
りくると	Recruit
りさりー	LiSaRyy
りすと	LISUTO
リトルマイク	Little Mike
りゅーおー	Ryuoh
リョーズマ	Ryosma
りょーま	Ryouma
るーつちゃん	Ru-tuchan
ルート389	Route 389
ルーユィ	Luyu
ルーン	Rune
るーん	Runn
るい	Luy
ルイス	Ruishu
ルイレ	Ruir
るか	Luka
ルキナンスキー	Lucinansky
るけたす	ruketasu
ルシウス	Rushius
ルシフェリン	Luciferin
ルナマド	Lunamado
ルフ軍	Rufugun
ルミナス	Luminous
れーとる	Raytol
れいすた	Reystar
れいぴあ	Rapier
レイブン	Raven
レオンハート	LeonHeart
れくさす	Lexus
れじん	Resin
レスト	Rest
れっく	REC
れもぞねす	LemozonA
レヲ	Rewo
ローチコク	Roachicock
ロイjr	Roy jr
ロキてんどんまん	Roki Tendonman
ロシナンテ	Rocinante
ロック	Rock
ロックオン	L0ckoN
ろっしー	Rossy
わいあい	YI
わいる	WIL
わかきこう	Wakakikou
わこー^	Waco^
わしび	Wa C B
わっくす	WAX
わっしょいわたなべ	Wasshoi Watanabe
わんこ殿	Wanko-dono
ゐわ	Iwa
ヱヰリリ	Ailili
ヲォカズ	Wocuz
んあ	@Na
一般男性	Ippan Dansei
七味大福	Sitimi Daifuku
三本(川)/さんぼん	Sanbon(sen)
上川	Kamikawa
也澤	Narisawa
二日未満	Hutukamimann
云	Yun
亜父	Af
亞紋	Amon
交通	Koutuu
京葉	Chikanoha
仁義	Zingi
仝仝仝仝	Dodododo
以蔵	Izo
伊狩/いかり	iKaRi
佳村かえる	Yoshimura Kaelu
使い魔さなたん	Tsukaima Sanatan
俺の上強に当たってくれ	Ore no Uekyo Ni Atattekure
兔兔	Tu Tu
八神	Yagami
兰螳花侠	Lantanghua Xia
冷蔵庫	Reizoko
凌駕	Ryoga
凛檎	Ringo
出雲	Izumo
利根川	Pain
刺激マン	Shigekiman
削り節	Kezuribusi
前ステップ吉沢	Frontstep Yoshizawa
双月	Sougetsu
反逆者ツバサ	Hangyakusha Tsubasa
古戸らき	FurudoLaki
古森霧	komorikiri
名探偵 やしごん	Meitantei Yashigon
和菓子	Wagashi
嘉輝	Jiahui
垢BANちゃん	AkaBAN-chan
夕星	Yuuzutsu
夜雲カゲナ	Yorukumo Kagena
夢スマ/シリコン	Silicon
夢色雫	Yumeiro Shizuku
大澤	Osawa
大澤璃紀	Osawa Rino
天	Ten
天地	Tenchi
天香	Tenka
女	Onna
姉崎	Anesaki
尊重	Soncho
小明	Xiao Ming
小波	Sazanami
山田重道	Yamada Shigemichi
島田	Shimada
平郎	Halo
幽霊	Yurei
广东烧腊传奇	Guangdong Shaola Chuanqi
影れん	Kage Ren
律	Ritsu
志立	shiryu
悪夢	Akumu
愛しのヨッシー	Itoshino Yoshi
戦士	Senshi
戻り鰹	Motorikatsuo
抹茶	Matcha
持主	Mochinushi
揺すら	Yusura
新米.	Shinmai
日ノ丸	Hinomaru
春つばめ	Haru Tsubame
春吹	Shunsui
春巻き	Harumaki
最弱犬	Saijaku Inu
有スかな	Alicekana
朔空	-SakuRa-
朝比奈	Asahina
朝比奈ひなた	Asahina Hinata
朧月夜	OvOrozukiyo
本こうすけ	Hon Kosuke
柴田美月(のよ)	Mizuki Shibata (Noyo)
棕櫚	Syuro
楓	Kaede
楓木	kaedegi
楽園	Rakuen
殺武神	Sobugami
毒ガス丸	Dokugasumaru
水上のガケガニ	Minakami no Gakegani
水姆	Shui Mu
水戸COME ON	MitoCOME ON
水族館	Suizokukan
水無灯里	Akari Mizunashi
水面	Minamo
氷砂糖	Korizato
沼井JAPAN	Numai JAPAN
洋風	Yofu
浜ぞう	Hamazou
深緑	miroku
淼把淼	Miao Ba Miao
満足	Manzoku
炭酸水	Tansansui
点P	TenP
無表情	Muhyou Jyo
爪楊枝	Tsumayozi
狐温	Kitsune Yutaka
狐狐	Kitsuneko
猫だるま	Neko Daruma
猫好き社長	Nekosuki Syatyo
獄虎	Gokutora
玄音	Kurone
玲桜	Leo
理央	Rio
瓶	Bin
甘桜ワスく	Amasakura Wasuku
生瞬き	Namamabataki
生茶々	namachacha
生龍/いきりゅう	ikiRYu
産毛	Ubuge
画隆点睛	Garyu Tensei
白銀	Hakugin
白雪 雪那	Shirayuki Setsuna
相原信介	Aihara Shinsuke
眼奈実愛	Me Nami Ai
破竹	Hachiku
碧	Aoi
社畜おしず#きさやぎ	Shachiku Oshizu#Kisayagi
祈	Inori
神楽	Kagura
秘剣	Hiken
秦斗会苍蓝星	Qindouhui Canglanxing
空振り	Karaburi
空気	Kuki
笹塚かいわれ	Sasazuka Kaiware
管理人	Kannrinin
紅	Kurenai
綺子	Kiko
綾月	Ayatuki
縺医k	Motsui k
翠	Midori
聖人君子	Seijin Kimiko
腰痛	Yotsu
英姫	Hideki
荒木	Araki
莉森	Rimori
葉月	Hazuki
蓮くん	Renkun
虎川	Torakawa
虫子	Chongzi
虹のゴキブリ	Niji no Gokiburi
蛇笏	Dakotsu
蛍光	Keiko
西木野真姬	QC
見知らぬ,天丼	Mishiranu, Tendon
詐欺ねこ	Sagineko
豪炎寺	Goenji
賢者	Kenja
赤滝	Akataki
近藤ブレス	Kondoburesu
野比のび太	Nobi Nobita
金欠病	Kinketu Byo
錯覚	Sakkaku
鐘奈師kinako	Kaneshi kinako
閃光	Senkou
防人	Sakimori
阿修羅真那	Ashura Mana
阿墨炭 明隅	Asumizumi Asumi
隨	Manima
雅	Miyabi
雛霰	Hinaarare
雨地	Amachi
雨音	Amaoto
雷夢セルパント	Raim Serpant
霧雨魔理沙	Kirisame Marisa
音	Oto
風水	Fuusui
风向	Feng Xiang
高宮	Takamiya
鬼さん	Oni-san
鳥さみる	Torisamiru
鶴岡松太郎	Tsuruoka Matsutaro
鸽鸽	Ge Ge
麗華真希花	Reika Makihana
麻婆豆腐	Mabo Dofu
黄金虫	Koganemushi
空白	Kuhaku
黒船	Kurofune
鼬-イタチ	Itachi
龍門	Ryumon
